episode_id,scene,seed,method,budget,snapshot_count,eligible_instances,recalled_instances,tcobr,continuous_boundary_utility,critical_boundary_hq_coverage,critical_region_psnr_db,full_psnr_db,full_ssim,mean_charged_bytes,mean_utilization,mean_roi_area_ratio
m7_v1_development_m7c2_seed710200,M7C2,710200,command_conditioned_risk_roi,low,4,3,3,1.0,1.0,0.0,44.760930944133065,35.405587865898525,0.9491689525556651,31941.25,0.9866327917464632,0.020833333333333332
m7_v1_development_m7c2_seed710200,M7C2,710200,command_conditioned_risk_roi,medium,4,3,3,1.0,1.0,0.0,47.40560404541319,38.60796334601318,0.9702536711320197,32591.25,0.9726118356262496,0.020833333333333332
m7_v1_development_m7c2_seed710200,M7C2,710200,command_conditioned_risk_roi,severe,4,3,3,1.0,0.9038461538461539,0.0,33.3416454178454,27.291176163697465,0.8641861648080938,31354.5,0.9964564927223034,0.020833333333333332
m7_v1_development_m7c2_seed710200,M7C2,710200,state_only_risk_roi,high,4,3,3,1.0,1.0,0.0,47.40560404541319,38.60796334601318,0.9702536711320197,32578.25,0.9342505233575177,0.020833333333333332
m7_v1_development_m7c2_seed710200,M7C2,710200,state_only_risk_roi,low,4,3,3,1.0,1.0,0.0,44.760930944133065,35.405587865898525,0.9491689525556651,31928.25,0.9862312349416199,0.020833333333333332
m7_v1_development_m7c2_seed710200,M7C2,710200,state_only_risk_roi,medium,4,3,3,1.0,1.0,0.0,47.40560404541319,38.60796334601318,0.9702536711320197,32578.25,0.972223880151601,0.020833333333333332
m7_v1_development_m7c2_seed710200,M7C2,710200,state_only_risk_roi,severe,4,3,3,1.0,0.9038461538461539,0.0,33.3416454178454,27.291176163697465,0.8641861648080938,31341.5,0.9960433483760249,0.020833333333333332
m7_v1_development_m7c2_seed710200,M7C2,710200,v2_corridor_edges,high,4,3,3,1.0,1.0,0.34615384615384615,47.848271303607106,39.015179638159566,0.9711153494476037,32584.25,0.9344225861030655,0.19270833333333331
m7_v1_development_m7c2_seed710200,M7C2,710200,v2_corridor_edges,low,4,3,3,1.0,1.0,0.16346153846153846,44.98224537153605,35.54747646268593,0.949810403897228,31934.25,0.9864165688515476,0.109375
m7_v1_development_m7c2_seed710200,M7C2,710200,v2_corridor_edges,medium,4,3,3,1.0,1.0,0.34615384615384615,47.848271303607106,39.015179638159566,0.9711153494476037,32584.25,0.9724029365245157,0.19270833333333331
m7_v1_development_m7c2_seed710200,M7C2,710200,v2_corridor_edges,severe,4,3,3,1.0,0.9038461538461539,0.10576923076923077,33.349249856426496,27.70930326017701,0.861342410620409,31347.25,0.9962260852984174,0.18229166666666666
m7_v1_development_m7c2_seed710200,M7C2,710200,v2_global_only,high,4,3,3,1.0,1.0,0.4423076923076923,48.13660756933024,39.049874041428566,0.9708266717938727,32584.0,0.9344154168220011,0.21354166666666669
m7_v1_development_m7c2_seed710200,M7C2,710200,v2_global_only,low,4,3,3,1.0,1.0,0.15384615384615385,44.938378244033714,35.559291655205016,0.949856069289586,31934.0,0.9864088466053006,0.140625
m7_v1_development_m7c2_seed710200,M7C2,710200,v2_global_only,medium,4,3,3,1.0,1.0,0.4423076923076923,48.13660756933024,39.049874041428566,0.9708266717938727,32584.0,0.972395475842311,0.21354166666666669
m7_v1_development_m7c2_seed710200,M7C2,710200,v2_global_only,severe,4,3,3,1.0,0.9038461538461539,0.14423076923076922,33.358977199858735,27.790684952251144,0.8629051382511475,31347.5,0.9962340303819996,0.203125
m7_v1_development_m7c2_seed710200,M7C2,710200,v2_visible_edges,high,4,3,3,1.0,1.0,0.40384615384615385,48.04241058714923,38.91049311705286,0.9700461571550753,32584.25,0.9344225861030655,0.17708333333333334
m7_v1_development_m7c2_seed710200,M7C2,710200,v2_visible_edges,low,4,3,3,1.0,1.0,0.22115384615384615,45.017833795512196,35.498859155146135,0.9491656742827689,31934.25,0.9864165688515476,0.11458333333333334
m7_v1_development_m7c2_seed710200,M7C2,710200,v2_visible_edges,medium,4,3,3,1.0,1.0,0.40384615384615385,48.04241058714923,38.91049311705286,0.9700461571550753,32584.25,0.9724029365245157,0.17708333333333334
m7_v1_development_m7c2_seed710200,M7C2,710200,v2_visible_edges,severe,4,3,3,1.0,1.0,0.20192307692307693,33.43383161024527,27.696653242666592,0.8574015178963845,31347.5,0.9962340303819996,0.19270833333333334
m7_v1_development_m7c2_seed710201,M7C2,710201,command_conditioned_risk_roi,high,4,3,3,1.0,1.0,0.0,45.28866984834255,38.222707144143975,0.9679035608022548,32684.5,0.9372974678099281,0.020833333333333332
