episode_id,scene,seed,snapshot_id,method,budget,roi_pixels,selected_tiles,enhanced_quality,background_quality,charged_bytes,tile_payload_bytes,critical_tile_payload_bytes,critical_tile_payload_fraction,critical_region_pixels,critical_boundary_edge_pixels,eligible_boundary_edge_pixels,critical_boundary_high_quality_coverage,eligible_boundary_high_quality_coverage,critical_region_mse,critical_region_psnr_db,eligible_boundary_mse,eligible_boundary_psnr_db,tcobr_eligible,tcobr_recalled,tcobr,reconstruction_sha256
m6a_v3_formal_s1_seed630101,S1,630101,3,command_conditioned_risk_roi,high,11,1,95,65,33192,32784,12040,0.36725231820400195,6000,5,0,0.0,,9.326611111111111,38.43356492373481,,,0,0,,72bd65f4f56affc7daee087872cf57ae0f319dca6eed90ba73589b9f0ac75713
m6a_v3_formal_s1_seed630102,S1,630102,0,state_only_risk_roi,severe,9,1,35,5,31441,31046,0,0.0,0,0,0,,,,,,,0,0,,83f88bc18aa283e667711e1cf5eb849ba6258d892f631f436565f648afed169a
m6a_v3_formal_s1_seed630102,S1,630102,0,state_only_risk_roi,low,9,1,55,25,32271,31876,0,0.0,0,0,0,,,,,,,0,0,,ac7c2a5069225660ae4a31a5c78e480c40cc1da384c40ecb0f8b66611b7fffd5
m6a_v3_formal_s1_seed630102,S1,630102,0,state_only_risk_roi,medium,9,1,75,45,32993,32598,0,0.0,0,0,0,,,,,,,0,0,,75275f1e7d1759b583c190d2336640586624b15893b954f225cf867cccf7716d
m6a_v3_formal_s1_seed630102,S1,630102,0,state_only_risk_roi,high,9,1,95,65,33830,33435,0,0.0,0,0,0,,,,,,,0,0,,fc6ec4ea1a39c0c2d1328e907e3e26d8dbdc0a3c6049209f5641a13ee00bdd75
m6a_v3_formal_s1_seed630102,S1,630102,0,command_conditioned_risk_roi,severe,9,1,35,5,31450,31046,0,0.0,0,0,0,,,,,,,0,0,,83f88bc18aa283e667711e1cf5eb849ba6258d892f631f436565f648afed169a
m6a_v3_formal_s1_seed630102,S1,630102,0,command_conditioned_risk_roi,low,9,1,55,25,32280,31876,0,0.0,0,0,0,,,,,,,0,0,,ac7c2a5069225660ae4a31a5c78e480c40cc1da384c40ecb0f8b66611b7fffd5
m6a_v3_formal_s1_seed630102,S1,630102,0,command_conditioned_risk_roi,medium,9,1,75,45,33002,32598,0,0.0,0,0,0,,,,,,,0,0,,75275f1e7d1759b583c190d2336640586624b15893b954f225cf867cccf7716d
m6a_v3_formal_s1_seed630102,S1,630102,0,command_conditioned_risk_roi,high,9,1,95,65,33839,33435,0,0.0,0,0,0,,,,,,,0,0,,fc6ec4ea1a39c0c2d1328e907e3e26d8dbdc0a3c6049209f5641a13ee00bdd75
m6a_v3_formal_s1_seed630102,S1,630102,1,state_only_risk_roi,severe,9,1,35,5,31449,31054,0,0.0,0,0,0,,,,,,,0,0,,4c26ed9124eb3b2d21701b794943887ad8817c7964e704714b99330ce7b89414
m6a_v3_formal_s1_seed630102,S1,630102,1,state_only_risk_roi,low,9,1,55,25,32225,31830,0,0.0,0,0,0,,,,,,,0,0,,ee8f94e931fccc2dc8896dfc527844feaae05418c6e7f2617fe4b182735267d4
m6a_v3_formal_s1_seed630102,S1,630102,1,state_only_risk_roi,medium,9,1,75,45,32833,32438,0,0.0,0,0,0,,,,,,,0,0,,1ab1aa376778056417cda84be3dd8af89b2dc19b5ea2fefd41b034afa57b789d
m6a_v3_formal_s1_seed630102,S1,630102,1,state_only_risk_roi,high,9,1,95,65,33695,33300,0,0.0,0,0,0,,,,,,,0,0,,56233d6adc76aa2d2c52fac2be4d89dafb95453517653129c2bb7b2e68d70eaf
m6a_v3_formal_s1_seed630102,S1,630102,1,command_conditioned_risk_roi,severe,9,1,35,5,31458,31054,0,0.0,0,0,0,,,,,,,0,0,,4c26ed9124eb3b2d21701b794943887ad8817c7964e704714b99330ce7b89414
m6a_v3_formal_s1_seed630102,S1,630102,1,command_conditioned_risk_roi,low,9,1,55,25,32234,31830,0,0.0,0,0,0,,,,,,,0,0,,ee8f94e931fccc2dc8896dfc527844feaae05418c6e7f2617fe4b182735267d4
m6a_v3_formal_s1_seed630102,S1,630102,1,command_conditioned_risk_roi,medium,9,1,75,45,32842,32438,0,0.0,0,0,0,,,,,,,0,0,,1ab1aa376778056417cda84be3dd8af89b2dc19b5ea2fefd41b034afa57b789d
m6a_v3_formal_s1_seed630102,S1,630102,1,command_conditioned_risk_roi,high,9,1,95,65,33704,33300,0,0.0,0,0,0,,,,,,,0,0,,56233d6adc76aa2d2c52fac2be4d89dafb95453517653129c2bb7b2e68d70eaf
m6a_v3_formal_s1_seed630102,S1,630102,2,state_only_risk_roi,severe,9,2,35,5,31367,30972,23215,0.749547978819579,11229,11,0,0.0,,131.59708492890434,26.938340917519263,,,0,0,,d8af815ef35fe8e94efb26297460c87702c866eaafca2ccc7cd354ca7fe8ca77
m6a_v3_formal_s1_seed630102,S1,630102,2,state_only_risk_roi,low,9,2,55,25,31954,31559,23594,0.7476155771729143,11229,11,0,0.0,,15.871730934781963,36.12456068364381,,,0,0,,93206e67383f8eb76bf6c3dbd53d6cbbd7f83942fffef005899d1a8d14c496bd
m6a_v3_formal_s1_seed630102,S1,630102,2,state_only_risk_roi,medium,9,2,95,65,32889,32494,24184,0.7442604788576352,11229,11,0,0.0,,4.765399115385757,41.349810810035564,,,0,0,,410a3e8b64c54332fdfd15bb0e74ce5770e02f5537a5c7a89fcbb1fcda23c2ce
m6a_v3_formal_s1_seed630102,S1,630102,2,state_only_risk_roi,high,9,2,95,65,32889,32494,24184,0.7442604788576352,11229,11,0,0.0,,4.765399115385757,41.349810810035564,,,0,0,,410a3e8b64c54332fdfd15bb0e74ce5770e02f5537a5c7a89fcbb1fcda23c2ce
m6a_v3_formal_s1_seed630102,S1,630102,2,command_conditioned_risk_roi,severe,9,2,35,5,31376,30972,23215,0.749547978819579,11229,11,0,0.0,,131.59708492890434,26.938340917519263,,,0,0,,d8af815ef35fe8e94efb26297460c87702c866eaafca2ccc7cd354ca7fe8ca77
m6a_v3_formal_s1_seed630102,S1,630102,2,command_conditioned_risk_roi,low,9,2,55,25,31963,31559,23594,0.7476155771729143,11229,11,0,0.0,,15.871730934781963,36.12456068364381,,,0,0,,93206e67383f8eb76bf6c3dbd53d6cbbd7f83942fffef005899d1a8d14c496bd
m6a_v3_formal_s1_seed630102,S1,630102,2,command_conditioned_risk_roi,medium,9,2,95,65,32898,32494,24184,0.7442604788576352,11229,11,0,0.0,,4.765399115385757,41.349810810035564,,,0,0,,410a3e8b64c54332fdfd15bb0e74ce5770e02f5537a5c7a89fcbb1fcda23c2ce
m6a_v3_formal_s1_seed630102,S1,630102,2,command_conditioned_risk_roi,high,9,2,95,65,32898,32494,24184,0.7442604788576352,11229,11,0,0.0,,4.765399115385757,41.349810810035564,,,0,0,,410a3e8b64c54332fdfd15bb0e74ce5770e02f5537a5c7a89fcbb1fcda23c2ce
