episode_id,scene,seed,method,budget,eligible_instances,recalled_instances,absolute_tcobr,mean_critical_region_psnr_db,mean_eligible_boundary_psnr_db,mean_critical_tile_payload_bytes,mean_critical_boundary_high_quality_coverage
m6a_v3_formal_s3_seed630301,S3,630301,state_only_risk_roi,low,1,1,1.0,33.4933307908236,24.215724418401038,17764.0,0.0
m6a_v3_formal_s3_seed630301,S3,630301,state_only_risk_roi,medium,1,1,1.0,38.46964279212963,31.349444690367886,18204.5,0.0
m6a_v3_formal_s3_seed630301,S3,630301,state_only_risk_roi,severe,1,1,1.0,25.383265761556,17.804947378223666,17427.0,0.0
m6a_v3_formal_s3_seed630302,S3,630302,command_conditioned_risk_roi,high,1,1,1.0,42.162852790011875,30.665315540530685,16243.5,0.06962025316455696
m6a_v3_formal_s3_seed630302,S3,630302,command_conditioned_risk_roi,low,1,1,1.0,36.030532593210545,24.68381402515258,15805.5,0.06962025316455696
m6a_v3_formal_s3_seed630302,S3,630302,command_conditioned_risk_roi,medium,1,1,1.0,42.162852790011875,30.665315540530685,16243.5,0.06962025316455696
m6a_v3_formal_s3_seed630302,S3,630302,command_conditioned_risk_roi,severe,1,1,1.0,25.504981303853793,20.924710275945458,15523.5,0.06962025316455696
m6a_v3_formal_s3_seed630302,S3,630302,state_only_risk_roi,high,1,1,1.0,42.080150345704524,30.06528326611194,16195.0,0.02531645569620253
m6a_v3_formal_s3_seed630302,S3,630302,state_only_risk_roi,low,1,1,1.0,35.97907468746393,24.046614806403714,15793.5,0.02531645569620253
m6a_v3_formal_s3_seed630302,S3,630302,state_only_risk_roi,medium,1,1,1.0,42.080150345704524,30.06528326611194,16195.0,0.02531645569620253
m6a_v3_formal_s3_seed630302,S3,630302,state_only_risk_roi,severe,1,1,1.0,25.445356279751007,20.16386026485703,15511.5,0.02531645569620253
m6a_v3_formal_s3_seed630303,S3,630303,command_conditioned_risk_roi,high,1,1,1.0,42.479529486272135,30.48157376218022,18270.0,0.35
m6a_v3_formal_s3_seed630303,S3,630303,command_conditioned_risk_roi,low,1,1,1.0,38.180790160487845,29.3147835308528,17830.5,0.35
m6a_v3_formal_s3_seed630303,S3,630303,command_conditioned_risk_roi,medium,1,1,1.0,42.479529486272135,30.48157376218022,18270.0,0.35
m6a_v3_formal_s3_seed630303,S3,630303,command_conditioned_risk_roi,severe,1,1,1.0,26.010864339410595,19.89373303470351,17467.0,0.35
m6a_v3_formal_s3_seed630303,S3,630303,state_only_risk_roi,high,1,1,1.0,42.30302179607746,30.18360009051074,18205.0,0.3071428571428571
m6a_v3_formal_s3_seed630303,S3,630303,state_only_risk_roi,low,1,1,1.0,38.09279700624314,28.684567069012452,17815.5,0.3071428571428571
m6a_v3_formal_s3_seed630303,S3,630303,state_only_risk_roi,medium,1,1,1.0,42.30302179607746,30.18360009051074,18205.0,0.3071428571428571
m6a_v3_formal_s3_seed630303,S3,630303,state_only_risk_roi,severe,1,1,1.0,25.955991651829095,19.564780466954762,17453.0,0.3071428571428571
m6a_v3_formal_s4_seed630400,S4,630400,command_conditioned_risk_roi,high,1,1,1.0,35.58150158456475,29.877541268360158,4337.0,0.0
m6a_v3_formal_s4_seed630400,S4,630400,command_conditioned_risk_roi,low,1,1,1.0,30.154572861584604,25.06875354590704,4087.5,0.0
m6a_v3_formal_s4_seed630400,S4,630400,command_conditioned_risk_roi,medium,1,1,1.0,32.54741587171359,25.49353273840424,4208.0,0.0
m6a_v3_formal_s4_seed630400,S4,630400,command_conditioned_risk_roi,severe,1,1,1.0,21.623042017296463,21.270861321393024,3905.0,0.0
m6a_v3_formal_s4_seed630400,S4,630400,state_only_risk_roi,high,1,1,1.0,35.58150158456475,29.877541268360158,4337.0,0.0
m6a_v3_formal_s4_seed630400,S4,630400,state_only_risk_roi,low,1,1,1.0,30.154572861584604,25.06875354590704,4087.5,0.0
m6a_v3_formal_s4_seed630400,S4,630400,state_only_risk_roi,medium,1,1,1.0,32.54741587171359,25.49353273840424,4208.0,0.0
m6a_v3_formal_s4_seed630400,S4,630400,state_only_risk_roi,severe,1,1,1.0,21.623042017296463,21.270861321393024,3905.0,0.0
m6a_v3_formal_s4_seed630401,S4,630401,command_conditioned_risk_roi,high,0,0,,35.83977097453291,,4230.0,0.0
m6a_v3_formal_s4_seed630401,S4,630401,command_conditioned_risk_roi,low,0,0,,31.443852496171036,,4023.0,0.0
m6a_v3_formal_s4_seed630401,S4,630401,command_conditioned_risk_roi,medium,0,0,,34.00756435304971,,4118.5,0.0
m6a_v3_formal_s4_seed630401,S4,630401,command_conditioned_risk_roi,severe,0,0,,24.47795836305434,,3887.0,0.0
m6a_v3_formal_s4_seed630401,S4,630401,state_only_risk_roi,high,0,0,,35.83977097453291,,4230.0,0.0
m6a_v3_formal_s4_seed630401,S4,630401,state_only_risk_roi,low,0,0,,31.443852496171036,,4023.0,0.0
m6a_v3_formal_s4_seed630401,S4,630401,state_only_risk_roi,medium,0,0,,34.00756435304971,,4118.5,0.0
m6a_v3_formal_s4_seed630401,S4,630401,state_only_risk_roi,severe,0,0,,24.47795836305434,,3887.0,0.0
m6a_v3_formal_s4_seed630402,S4,630402,command_conditioned_risk_roi,high,1,1,1.0,35.53514123611509,30.065773712634027,6158.5,0.0
m6a_v3_formal_s4_seed630402,S4,630402,command_conditioned_risk_roi,low,1,1,1.0,31.13470587531845,23.038938455575014,5959.0,0.0
m6a_v3_formal_s4_seed630402,S4,630402,command_conditioned_risk_roi,medium,1,1,1.0,33.183236235589334,26.27814846051445,6052.0,0.0
m6a_v3_formal_s4_seed630402,S4,630402,command_conditioned_risk_roi,severe,1,1,1.0,24.636909200438275,19.061747940408914,5810.5,0.0
m6a_v3_formal_s4_seed630402,S4,630402,state_only_risk_roi,high,1,1,1.0,35.53514123611509,30.065773712634027,6158.5,0.0
m6a_v3_formal_s4_seed630402,S4,630402,state_only_risk_roi,low,1,1,1.0,31.13470587531845,23.038938455575014,5959.0,0.0
m6a_v3_formal_s4_seed630402,S4,630402,state_only_risk_roi,medium,1,1,1.0,33.183236235589334,26.27814846051445,6052.0,0.0
m6a_v3_formal_s4_seed630402,S4,630402,state_only_risk_roi,severe,1,1,1.0,24.636909200438275,19.061747940408914,5810.5,0.0
m6a_v3_formal_s4_seed630403,S4,630403,command_conditioned_risk_roi,high,0,0,,36.953560371976,,6216.5,0.0
m6a_v3_formal_s4_seed630403,S4,630403,command_conditioned_risk_roi,low,0,0,,33.58460485478188,,5980.0,0.0
m6a_v3_formal_s4_seed630403,S4,630403,command_conditioned_risk_roi,medium,0,0,,34.89931261864939,,6092.0,0.0
m6a_v3_formal_s4_seed630403,S4,630403,command_conditioned_risk_roi,severe,0,0,,24.51536977317787,,5825.0,0.0
m6a_v3_formal_s4_seed630403,S4,630403,state_only_risk_roi,high,0,0,,36.953560371976,,6216.5,0.0
m6a_v3_formal_s4_seed630403,S4,630403,state_only_risk_roi,low,0,0,,33.58460485478188,,5980.0,0.0
m6a_v3_formal_s4_seed630403,S4,630403,state_only_risk_roi,medium,0,0,,34.89931261864939,,6092.0,0.0
m6a_v3_formal_s4_seed630403,S4,630403,state_only_risk_roi,severe,0,0,,24.51536977317787,,5825.0,0.0
m6a_v3_formal_s5_seed630500,S5,630500,command_conditioned_risk_roi,high,1,1,1.0,37.90265249952962,30.993098986654033,20572.0,0.16
m6a_v3_formal_s5_seed630500,S5,630500,command_conditioned_risk_roi,low,1,1,1.0,33.866789240951306,23.979066155320492,19874.0,0.16
m6a_v3_formal_s5_seed630500,S5,630500,command_conditioned_risk_roi,medium,1,1,1.0,37.90265249952962,30.993098986654033,20572.0,0.16
m6a_v3_formal_s5_seed630500,S5,630500,command_conditioned_risk_roi,severe,1,1,1.0,26.312413942988083,18.22599428878779,19428.0,0.16
m6a_v3_formal_s5_seed630500,S5,630500,state_only_risk_roi,high,1,1,1.0,37.90265249952962,30.993098986654033,20572.0,0.16
m6a_v3_formal_s5_seed630500,S5,630500,state_only_risk_roi,low,1,1,1.0,33.866789240951306,23.979066155320492,19874.0,0.16
m6a_v3_formal_s5_seed630500,S5,630500,state_only_risk_roi,medium,1,1,1.0,37.90265249952962,30.993098986654033,20572.0,0.16
m6a_v3_formal_s5_seed630500,S5,630500,state_only_risk_roi,severe,1,1,1.0,26.312413942988083,18.22599428878779,19428.0,0.16
