episode_id,scene,seed,snapshot_id,budget,state_roi_pixels,command_roi_pixels,roi_intersection_pixels,roi_union_pixels,roi_jaccard,roi_xor_pixels,roi_xor_fraction,state_selected_tiles,command_selected_tiles,tile_intersection,tile_union,tile_jaccard,tile_xor_count,tile_xor_fraction,quality_xor_tiles,quality_xor_fraction,identical_reconstruction
m6a_v3_formal_s3_seed630301,S3,630301,2,low,9,13,5,17,0.29411764705882354,12,0.000625,1,2,1,2,0.5,1,0.020833333333333332,1,0.020833333333333332,0
m6a_v3_formal_s3_seed630301,S3,630301,2,medium,9,13,5,17,0.29411764705882354,12,0.000625,1,2,1,2,0.5,1,0.020833333333333332,1,0.020833333333333332,0
m6a_v3_formal_s3_seed630301,S3,630301,2,high,9,13,5,17,0.29411764705882354,12,0.000625,1,2,1,2,0.5,1,0.020833333333333332,1,0.020833333333333332,0
m6a_v3_formal_s3_seed630301,S3,630301,3,severe,7,11,3,15,0.2,12,0.000625,1,1,1,1,1.0,0,0.0,0,0.0,1
m6a_v3_formal_s3_seed630301,S3,630301,3,low,7,11,3,15,0.2,12,0.000625,1,1,1,1,1.0,0,0.0,0,0.0,1
m6a_v3_formal_s3_seed630301,S3,630301,3,medium,7,11,3,15,0.2,12,0.000625,1,1,1,1,1.0,0,0.0,0,0.0,1
m6a_v3_formal_s3_seed630301,S3,630301,3,high,7,11,3,15,0.2,12,0.000625,1,1,1,1,1.0,0,0.0,0,0.0,1
m6a_v3_formal_s3_seed630302,S3,630302,0,severe,9,9,9,9,1.0,0,0.0,1,1,1,1,1.0,0,0.0,0,0.0,1
m6a_v3_formal_s3_seed630302,S3,630302,0,low,9,9,9,9,1.0,0,0.0,1,1,1,1,1.0,0,0.0,0,0.0,1
m6a_v3_formal_s3_seed630302,S3,630302,0,medium,9,9,9,9,1.0,0,0.0,1,1,1,1,1.0,0,0.0,0,0.0,1
m6a_v3_formal_s3_seed630302,S3,630302,0,high,9,9,9,9,1.0,0,0.0,1,1,1,1,1.0,0,0.0,0,0.0,1
m6a_v3_formal_s3_seed630302,S3,630302,1,severe,10,11,5,16,0.3125,11,0.0005729166666666667,1,1,1,1,1.0,0,0.0,0,0.0,1
m6a_v3_formal_s3_seed630302,S3,630302,1,low,10,11,5,16,0.3125,11,0.0005729166666666667,1,1,1,1,1.0,0,0.0,0,0.0,1
